Unit,n_spikes_ctrl,PPC_ctrl,n_spikes_ach,PPC_ach
8,101,-0.007982223386899799,90,0.01974659730653644
25,79,0.0019842878605713936,74,0.04314284293701666
31,63,0.008044760176627199,108,0.024490405743481266
33,78,-9.917918123325786e-05,74,0.03224355563386687
34,75,-0.013181597646367747,91,0.032470382258781995
39,69,-0.008873941256498924,87,0.03285684555155482
51,77,-0.005816841206652504,74,0.06014584713636082
68,35,-0.005825163702194215,29,0.07251749427920831
70,28,-0.02112982924211813,63,0.05259042439314193
71,81,0.08411390440667055,75,-0.008383760848292439
74,102,-0.009573724855917964,84,0.02371841638827437
75,93,-0.005657383549504593,72,0.024676117717389433
79,55,0.05571367609302617,54,0.02422222470049762
85,103,-0.004621804895412397,113,0.014967470661739481
91,85,-0.010524654442941098,82,0.025582088595695163
112,70,-0.011467686693017776,64,0.02949304627306054
123,80,0.020378814871210234,82,0.03426115721634407
